model,type,statistic,r2_train,r2_test,rmse_train,rmse_test,n_samples,n_features
disc_0,disc,SFS_1,0.2460883727808918,0.2452854029611653,3.8715624198519007,3.8455848543759,199837,64
disc_0,disc,SFS_2,0.06043699154996518,0.06403981595308095,2.1337495213991997,2.12029787864742,199837,64
disc_0,disc,SFS_3,0.041406337472089993,0.03496193119093327,1.8247821846551213,1.7788430289459847,199837,64
disc_0,disc,SFS_4,0.029666754362381087,0.026391982068920017,1.6434777277325059,1.6105159531796729,199837,64
disc_0,disc,SFS_5,0.02296700675922203,0.020536485114234337,1.5485861610865748,1.5560826501575025,199837,64
disc_0,disc,SFS_6,0.018079778589885742,0.01740832588008079,1.4562255076865407,1.4678470850020335,199837,64
disc_0,disc,SFS_7,0.015052028248326854,0.015093286713451004,1.4063541845028635,1.4591015663365026,199837,64
disc_0,disc,SFS_8,0.011850766334779661,0.013051273730921742,1.3944689687528813,1.4069132516654212,199837,64
disc_0,disc,SFS_9,0.011725038819327516,0.008729485132066728,1.332718076730425,1.342584626328423,199837,64
disc_0,disc,LD_1,0.4263219459617099,0.4366798934784484,0.07330578108069462,0.0719099033735625,199837,64
disc_0,disc,LD_2,0.34272133529645543,0.35454974506075665,0.07498874663536903,0.07364075640253882,199837,64
disc_0,disc,LD_3,0.22997387760737653,0.23555757387862986,0.08231969554816863,0.08056723243004581,199837,64
disc_0,disc,LD_4,0.10453492499221839,0.0992114893682925,0.08982933428570562,0.09096701938191905,199837,64
disc_0,disc,LD_5,0.06088645806724802,0.059512990310507496,0.0887102033398611,0.0901528940424687,199837,64
disc_0,disc,LD_6,0.05460248677103896,0.05103586177080954,0.0778084092939148,0.07975340428207783,199837,64
disc_0,disc,LD_7,0.06194025365188438,0.05785677970021741,0.06027043567858862,0.06102337066497281,199837,64
disc_0,disc,LD_8,0.06831871823205904,0.06545828832398837,0.0429088745543688,0.0428573388307218,199837,64
disc_0,disc,LD_9,0.06980271209468591,0.07875655553675842,0.029925439639360295,0.02941247856466443,199837,64
disc_0,disc,LD_10,0.07212864681022724,0.08608328975214585,0.020025449786228625,0.02116741011496051,199837,64
disc_0,disc,LD_11,0.05480317830830572,0.06047798486884648,0.013693426306333124,0.013947176707525027,199837,64
disc_0,disc,LD_12,0.05125780224553811,0.03956057834741433,0.008641440924969403,0.010447347896526831,199837,64
disc_0,disc,LD_13,0.03294985213126467,0.02694443965796356,0.0057776256196961865,0.0064772621064077595,199837,64
disc_0,disc,LD_14,0.02296643595901482,0.020372762171536274,0.0033225053998635554,0.004820807213140873,199837,64
disc_0,disc,LD_15,0.007829289562756858,0.004741517671410622,0.0018616422366660077,0.005209824971389133,199837,64
disc_0,disc,$\pi$,0.44618617519397963,0.4464359182562211,1.6605169905370236,1.6566418598828268,199837,64
disc_0,disc,#haps,0.09018721004805508,0.09153512597108493,12.00273884298343,11.899139938297015,199837,64
disc_0,disc,ihs_maxabs,0.21982383760153001,0.2251148992337546,0.23072113827644877,0.22982809746727242,199837,64
disc_0,disc,garud_h1,0.38258284718782276,0.38272755415186,0.07656690364824148,0.07705219724559324,199837,64
disc_0,disc,garud_h12,0.2812939438179388,0.28258874516145416,0.12244942747590366,0.12245837526042036,199837,64
disc_0,disc,garud_h123,0.22211484914644875,0.22581663437332278,0.1453786588191096,0.14474073226848347,199837,64
disc_0,disc,garud_h2_h1,0.3035635921609874,0.29966202507759465,0.16424141672669842,0.16450264590746894,199837,64
disc_1,disc,SFS_1,0.286917185979102,0.2849390197318874,3.7652691831316027,3.7431959624206463,199837,64
disc_1,disc,SFS_2,0.06202802651555939,0.06107372596286487,2.1319421340908304,2.123654869570074,199837,64
disc_1,disc,SFS_3,0.03945581990197711,0.03345892729576827,1.8266377471931485,1.7802277244783375,199837,64
disc_1,disc,SFS_4,0.028190109603741798,0.023374687871637767,1.644727767449307,1.6130095857552953,199837,64
disc_1,disc,SFS_5,0.023771861113929704,0.02437655323841459,1.5479481871824445,1.5530292787827282,199837,64
disc_1,disc,SFS_6,0.018174036255788728,0.021416449069872057,1.4561556121346593,1.4648502532212264,199837,64
disc_1,disc,SFS_7,0.015539506414482318,0.015050897432057453,1.4060061195156603,1.4591329650469416,199837,64
disc_1,disc,SFS_8,0.011982579739724164,0.014717131246563042,1.3943759585947009,1.4057253952097675,199837,64
disc_1,disc,SFS_9,0.012969241320608282,0.009170501204897263,1.3318788905459544,1.3422859352740792,199837,64
disc_1,disc,LD_1,0.3920383549967821,0.3920795633438058,0.07546441297809053,0.07470238206175459,199837,64
disc_1,disc,LD_2,0.321533218253662,0.3184386805924496,0.07618783310422018,0.07567271568388917,199837,64
disc_1,disc,LD_3,0.193775601844426,0.18668383558053836,0.08423236502280529,0.08310281903452807,199837,64
disc_1,disc,LD_4,0.06874378786852364,0.06531139148482679,0.09160695479459138,0.09266292833602453,199837,64
disc_1,disc,LD_5,0.06903649704974446,0.06856499762353274,0.08832443152620989,0.08971799288424945,199837,64
disc_1,disc,LD_6,0.070807499993085,0.06815931769981676,0.07713867180697527,0.07903057891145326,199837,64
disc_1,disc,LD_7,0.05875243574090683,0.06156876787877341,0.060372757637048254,0.06090303779883049,199837,64
disc_1,disc,LD_8,0.05157545013625353,0.05552387980477824,0.04329271596728364,0.043084528688314944,199837,64
disc_1,disc,LD_9,0.04242964025671214,0.04943143579235709,0.030362557638660876,0.02987694188858909,199837,64
disc_1,disc,LD_10,0.03495033602871134,0.045051908843053434,0.020422703302180503,0.021637361334808213,199837,64
disc_1,disc,LD_11,0.02535228419407265,0.024639308763028223,0.013905123077388653,0.014210699214269056,199837,64
disc_1,disc,LD_12,0.016207539780562552,0.014250581046555633,0.008799617638319405,0.010584109713531064,199837,64
disc_1,disc,LD_13,0.008756000965635113,0.0089848776104261,0.00584945204114654,0.0065367638070891855,199837,64
disc_1,disc,LD_14,0.005234216018485283,0.005962591455863642,0.003352519967832118,0.004856134450745874,199837,64
disc_1,disc,LD_15,0.0024276495964763445,0.0015053069434217692,0.0018667029945374665,0.005218288304438895,199837,64
disc_1,disc,$\pi$,0.4610155413999084,0.45863960333627973,1.638134468801428,1.6382792107817494,199837,64
disc_1,disc,#haps,0.07179508907953414,0.06741483819815719,12.123451204437982,12.056069771078528,199837,64
disc_1,disc,ihs_maxabs,0.17728343752934606,0.17096008668402185,0.2369278794891473,0.23772353876886027,199837,64
disc_1,disc,garud_h1,0.273573949901909,0.27111860054510994,0.08305149303135645,0.08372882871500376,199837,64
disc_1,disc,garud_h12,0.19963787012304213,0.19467136227379056,0.12921840388063033,0.12974510197743172,199837,64
disc_1,disc,garud_h123,0.1572066832307294,0.15135018778124687,0.15132248300291518,0.15154203235846408,199837,64
disc_1,disc,garud_h2_h1,0.28428154781585935,0.28294272084996297,0.1664995469741587,0.16645466615865034,199837,64
disc_2,disc,SFS_1,0.25060545232128895,0.24588466548031118,3.859946715365688,3.844057805264237,199837,64
disc_2,disc,SFS_2,0.055590949972335824,0.05488749813856608,2.139245129441211,2.130639360710328,199837,64
disc_2,disc,SFS_3,0.03677327884393611,0.03373424638813671,1.82918662235626,1.7799741576080093,199837,64
disc_2,disc,SFS_4,0.027070558430930203,0.024943738675380356,1.6456748801002796,1.6117133305233893,199837,64
disc_2,disc,SFS_5,0.021911588070608,0.020026926126023303,1.5494223486266923,1.55648736804047,199837,64
disc_2,disc,SFS_6,0.01798018488410702,0.016779975557188576,1.456299356464809,1.4683163413620126,199837,64
disc_2,disc,SFS_7,0.015528972718036993,0.014600127467000457,1.4060136416062583,1.4594668188861493,199837,64
disc_2,disc,SFS_8,0.011888902439596505,0.014223787706277191,1.3944420597972038,1.4060772833705792,199837,64
disc_2,disc,SFS_9,0.011376617843862014,0.01001355396141157,1.3329529840339807,1.3417147680488268,199837,64
disc_2,disc,LD_1,0.47970671399360376,0.4865648968523042,0.06981170072383208,0.06865210494154748,199837,64
disc_2,disc,LD_2,0.4144458379499175,0.421878254882573,0.07077907185539392,0.06969417874560055,199837,64
disc_2,disc,LD_3,0.27207550274656245,0.27738757263380054,0.08003762515297021,0.07833191923499913,199837,64
disc_2,disc,LD_4,0.10042142649528507,0.10153923284342414,0.090035422415734,0.09084940861329095,199837,64
disc_2,disc,LD_5,0.029452207062657165,0.029180310447131097,0.090182648657232,0.0915951672596773,199837,64
disc_2,disc,LD_6,0.03350253179421947,0.030680909475440776,0.07867190550315226,0.08060420758751671,199837,64
disc_2,disc,LD_7,0.061736348814150355,0.06020590932617276,0.06027698577611335,0.06094724567975373,199837,64
disc_2,disc,LD_8,0.0887080243440368,0.0924893930594427,0.04243675931963378,0.042232978411576534,199837,64
disc_2,disc,LD_9,0.1020161350820129,0.11373844713282444,0.029402703981950988,0.028848641925504466,199837,64
disc_2,disc,LD_10,0.10522262436060281,0.12298446853687628,0.019665087961637493,0.020735669276829655,199837,64
disc_2,disc,LD_11,0.08164282298541725,0.08337484439612286,0.013497608113787871,0.013776176828901603,199837,64
